epoch,optimization_loss,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_seconds
1,2.0397942266484437,1.9034247788747152,0.2958,1.8944992948532104,0.2998,12.484900900002685
2,1.9476909515729366,1.8763521907806398,0.31364444444444445,1.8722661869049073,0.321,14.102739999987534
3,1.9218146137591048,1.8247978227827284,0.35,1.82469983959198,0.3502,36.873001900006784
4,1.9127280240511282,1.8172945643319025,0.33675555555555553,1.8173024751663207,0.3418,52.40238549999776
5,1.901385149912694,1.8723536376953125,0.3052,1.873387727546692,0.3066,64.96820379998826
6,1.896099510695354,1.91821444606781,0.27164444444444447,1.9312951288223266,0.2616,80.24452089999977
7,1.88846104586463,1.7846087281121148,0.36246666666666666,1.7910027257919312,0.362,93.71751489999588
8,1.8867141004290675,1.7833051272498237,0.3579777777777778,1.7966666793823243,0.348,104.30958469999314
9,1.8752689934260651,1.7948672647052342,0.3459777777777778,1.8023079586029054,0.3448,114.21712780000234
10,1.8753745035247178,1.7427862919913397,0.36704444444444445,1.7553640514373778,0.3652,121.96026260001236
11,1.870355300081679,1.7582481548945108,0.36964444444444444,1.7758860610961915,0.362,128.24913909999304
12,1.8702377336352058,1.7663906101226807,0.3685777777777778,1.7857532445907593,0.3642,136.26006960000086
13,1.8700666325144522,1.7602752806133695,0.3665555555555556,1.779914969062805,0.358,142.37410319999617
14,1.868246893186768,1.7479958907021416,0.3668444444444444,1.767142592048645,0.3562,145.98915059999854
15,1.8700731523334635,1.7467913248062135,0.37091111111111114,1.7683743576049804,0.3684,150.87763260000793
16,1.8693726785773466,1.7732045487297905,0.3566666666666667,1.790549454689026,0.347,155.74064099999669
17,1.8596199325396152,1.7296020829306709,0.38224444444444444,1.754008204650879,0.3692,155.9006151999929
18,1.8626452254829586,1.7482196557574803,0.3678,1.7687911821365356,0.3614,154.09349820000352
19,1.8608244454778284,1.749986772579617,0.3685333333333333,1.772794898223877,0.3566,155.93575920000148
20,1.8599854754577303,1.7434329449335735,0.36862222222222224,1.765655068397522,0.3558,156.88379069999792
21,1.855372170894682,1.7654148015552098,0.3672666666666667,1.7870651517868041,0.3598,159.2664311000117
22,1.8575621453096633,1.7900263935089111,0.3526444444444444,1.8116957489013672,0.3394,155.37649650000094
23,1.85543704393631,1.7351300458272298,0.38095555555555555,1.7625003511428834,0.3682,155.33884899999248
24,1.8554879630968,1.7270261327955458,0.3834444444444444,1.7527758304595946,0.3692,154.83946860001015
25,1.8567523865720956,1.7373913590113321,0.3741333333333333,1.7639960092544555,0.362,157.07769169998937
26,1.8522309136803494,1.741404842376709,0.38251111111111114,1.7655890956878662,0.3706,156.29401030000008
27,1.849096746018678,1.7234810049057008,0.37824444444444444,1.751535195350647,0.368,156.27441610000096
28,1.8490600311793624,1.7711632258733114,0.3741333333333333,1.794492924118042,0.3624,157.1011140999908
29,1.8449892715790701,1.7073445572747123,0.38253333333333334,1.735978249168396,0.374,156.36018909999984
30,1.8508414976299654,1.758262987136841,0.36264444444444444,1.7836547361373902,0.3512,155.04110430000583
31,1.8494172046625321,1.7221921707577175,0.38035555555555556,1.7561095945358276,0.3642,155.23546549999446
32,1.847662024062353,1.7546169172286987,0.36591111111111113,1.7878835069656371,0.358,153.5739489000116
33,1.8449769559533122,1.7305774458991157,0.3801555555555556,1.758147251701355,0.3652,153.34604849999596
34,1.8397588623973984,1.7346654165479871,0.3723111111111111,1.7688738693237305,0.3586,156.43433439999353
35,1.8453674229141415,1.6968070771535237,0.3900222222222222,1.7310399257659912,0.3826,156.01761750000878
36,1.8439704214591972,1.70892369494968,0.3852888888888889,1.742263576889038,0.3724,155.62507999999798
37,1.8452272714646352,1.7502901070700752,0.38804444444444447,1.7799908916473388,0.3732,155.61551219999092
38,1.843615692989924,1.7340085900836522,0.3888,1.768608839225769,0.3784,155.09872540000651
39,1.84583005917703,1.7641963867823283,0.36591111111111113,1.7923407016754151,0.3488,157.09823089999554
40,1.841791325698786,1.722823730638292,0.37837777777777776,1.7545619781494142,0.3632,156.08669679999002
