epoch=001 train_loss=1.903425 train_acc=0.2958 val_loss=1.894499 val_acc=0.2998 seconds=12.485
epoch=002 train_loss=1.876352 train_acc=0.3136 val_loss=1.872266 val_acc=0.3210 seconds=14.103
epoch=003 train_loss=1.824798 train_acc=0.3500 val_loss=1.824700 val_acc=0.3502 seconds=36.873
epoch=004 train_loss=1.817295 train_acc=0.3368 val_loss=1.817302 val_acc=0.3418 seconds=52.402
epoch=005 train_loss=1.872354 train_acc=0.3052 val_loss=1.873388 val_acc=0.3066 seconds=64.968
epoch=006 train_loss=1.918214 train_acc=0.2716 val_loss=1.931295 val_acc=0.2616 seconds=80.245
epoch=007 train_loss=1.784609 train_acc=0.3625 val_loss=1.791003 val_acc=0.3620 seconds=93.718
epoch=008 train_loss=1.783305 train_acc=0.3580 val_loss=1.796667 val_acc=0.3480 seconds=104.310
epoch=009 train_loss=1.794867 train_acc=0.3460 val_loss=1.802308 val_acc=0.3448 seconds=114.217
epoch=010 train_loss=1.742786 train_acc=0.3670 val_loss=1.755364 val_acc=0.3652 seconds=121.960
epoch=011 train_loss=1.758248 train_acc=0.3696 val_loss=1.775886 val_acc=0.3620 seconds=128.249
epoch=012 train_loss=1.766391 train_acc=0.3686 val_loss=1.785753 val_acc=0.3642 seconds=136.260
epoch=013 train_loss=1.760275 train_acc=0.3666 val_loss=1.779915 val_acc=0.3580 seconds=142.374
epoch=014 train_loss=1.747996 train_acc=0.3668 val_loss=1.767143 val_acc=0.3562 seconds=145.989
epoch=015 train_loss=1.746791 train_acc=0.3709 val_loss=1.768374 val_acc=0.3684 seconds=150.878
epoch=016 train_loss=1.773205 train_acc=0.3567 val_loss=1.790549 val_acc=0.3470 seconds=155.741
epoch=017 train_loss=1.729602 train_acc=0.3822 val_loss=1.754008 val_acc=0.3692 seconds=155.901
epoch=018 train_loss=1.748220 train_acc=0.3678 val_loss=1.768791 val_acc=0.3614 seconds=154.093
epoch=019 train_loss=1.749987 train_acc=0.3685 val_loss=1.772795 val_acc=0.3566 seconds=155.936
epoch=020 train_loss=1.743433 train_acc=0.3686 val_loss=1.765655 val_acc=0.3558 seconds=156.884
epoch=021 train_loss=1.765415 train_acc=0.3673 val_loss=1.787065 val_acc=0.3598 seconds=159.266
epoch=022 train_loss=1.790026 train_acc=0.3526 val_loss=1.811696 val_acc=0.3394 seconds=155.376
epoch=023 train_loss=1.735130 train_acc=0.3810 val_loss=1.762500 val_acc=0.3682 seconds=155.339
epoch=024 train_loss=1.727026 train_acc=0.3834 val_loss=1.752776 val_acc=0.3692 seconds=154.839
epoch=025 train_loss=1.737391 train_acc=0.3741 val_loss=1.763996 val_acc=0.3620 seconds=157.078
epoch=026 train_loss=1.741405 train_acc=0.3825 val_loss=1.765589 val_acc=0.3706 seconds=156.294
epoch=027 train_loss=1.723481 train_acc=0.3782 val_loss=1.751535 val_acc=0.3680 seconds=156.274
epoch=028 train_loss=1.771163 train_acc=0.3741 val_loss=1.794493 val_acc=0.3624 seconds=157.101
epoch=029 train_loss=1.707345 train_acc=0.3825 val_loss=1.735978 val_acc=0.3740 seconds=156.360
epoch=030 train_loss=1.758263 train_acc=0.3626 val_loss=1.783655 val_acc=0.3512 seconds=155.041
epoch=031 train_loss=1.722192 train_acc=0.3804 val_loss=1.756110 val_acc=0.3642 seconds=155.235
epoch=032 train_loss=1.754617 train_acc=0.3659 val_loss=1.787884 val_acc=0.3580 seconds=153.574
epoch=033 train_loss=1.730577 train_acc=0.3802 val_loss=1.758147 val_acc=0.3652 seconds=153.346
epoch=034 train_loss=1.734665 train_acc=0.3723 val_loss=1.768874 val_acc=0.3586 seconds=156.434
epoch=035 train_loss=1.696807 train_acc=0.3900 val_loss=1.731040 val_acc=0.3826 seconds=156.018
epoch=036 train_loss=1.708924 train_acc=0.3853 val_loss=1.742264 val_acc=0.3724 seconds=155.625
epoch=037 train_loss=1.750290 train_acc=0.3880 val_loss=1.779991 val_acc=0.3732 seconds=155.616
epoch=038 train_loss=1.734009 train_acc=0.3888 val_loss=1.768609 val_acc=0.3784 seconds=155.099
epoch=039 train_loss=1.764196 train_acc=0.3659 val_loss=1.792341 val_acc=0.3488 seconds=157.098
epoch=040 train_loss=1.722824 train_acc=0.3784 val_loss=1.754562 val_acc=0.3632 seconds=156.087
