epoch=001 train_loss=1.765062 train_acc=0.3766 val_loss=1.771528 val_acc=0.3720 seconds=15.872
epoch=002 train_loss=1.674557 train_acc=0.4074 val_loss=1.691657 val_acc=0.4010 seconds=17.135
epoch=003 train_loss=1.632108 train_acc=0.4256 val_loss=1.655966 val_acc=0.4200 seconds=31.985
epoch=004 train_loss=1.573087 train_acc=0.4473 val_loss=1.600946 val_acc=0.4342 seconds=43.620
epoch=005 train_loss=1.591556 train_acc=0.4338 val_loss=1.625775 val_acc=0.4256 seconds=52.635
epoch=006 train_loss=1.538767 train_acc=0.4584 val_loss=1.580901 val_acc=0.4466 seconds=61.020
epoch=007 train_loss=1.529968 train_acc=0.4604 val_loss=1.581564 val_acc=0.4464 seconds=72.980
epoch=008 train_loss=1.499047 train_acc=0.4693 val_loss=1.555022 val_acc=0.4438 seconds=91.223
epoch=009 train_loss=1.509840 train_acc=0.4656 val_loss=1.578445 val_acc=0.4524 seconds=103.924
epoch=010 train_loss=1.470466 train_acc=0.4813 val_loss=1.539685 val_acc=0.4598 seconds=114.533
epoch=011 train_loss=1.467018 train_acc=0.4825 val_loss=1.546755 val_acc=0.4602 seconds=133.876
epoch=012 train_loss=1.474981 train_acc=0.4719 val_loss=1.553037 val_acc=0.4462 seconds=149.213
epoch=013 train_loss=1.431368 train_acc=0.4894 val_loss=1.516510 val_acc=0.4636 seconds=160.572
epoch=014 train_loss=1.431304 train_acc=0.4874 val_loss=1.523246 val_acc=0.4606 seconds=169.898
epoch=015 train_loss=1.399139 train_acc=0.5070 val_loss=1.486559 val_acc=0.4794 seconds=173.169
epoch=016 train_loss=1.402289 train_acc=0.5098 val_loss=1.501328 val_acc=0.4774 seconds=186.407
epoch=017 train_loss=1.380424 train_acc=0.5159 val_loss=1.486211 val_acc=0.4782 seconds=186.636
epoch=018 train_loss=1.379788 train_acc=0.5137 val_loss=1.493756 val_acc=0.4822 seconds=179.197
epoch=019 train_loss=1.384961 train_acc=0.5077 val_loss=1.507218 val_acc=0.4718 seconds=183.836
epoch=020 train_loss=1.359201 train_acc=0.5222 val_loss=1.473881 val_acc=0.4806 seconds=184.883
epoch=021 train_loss=1.369384 train_acc=0.5163 val_loss=1.495485 val_acc=0.4680 seconds=192.317
epoch=022 train_loss=1.348923 train_acc=0.5249 val_loss=1.478326 val_acc=0.4834 seconds=187.274
epoch=023 train_loss=1.335150 train_acc=0.5302 val_loss=1.462599 val_acc=0.4900 seconds=187.037
epoch=024 train_loss=1.345790 train_acc=0.5286 val_loss=1.477125 val_acc=0.4852 seconds=191.848
epoch=025 train_loss=1.333730 train_acc=0.5316 val_loss=1.470850 val_acc=0.4868 seconds=192.092
epoch=026 train_loss=1.371113 train_acc=0.5162 val_loss=1.510101 val_acc=0.4736 seconds=190.028
epoch=027 train_loss=1.316110 train_acc=0.5346 val_loss=1.458895 val_acc=0.4922 seconds=189.535
epoch=028 train_loss=1.308588 train_acc=0.5346 val_loss=1.456560 val_acc=0.4912 seconds=225.352
epoch=029 train_loss=1.341270 train_acc=0.5212 val_loss=1.487572 val_acc=0.4824 seconds=250.076
epoch=030 train_loss=1.304043 train_acc=0.5380 val_loss=1.463224 val_acc=0.4890 seconds=253.609
epoch=031 train_loss=1.301730 train_acc=0.5414 val_loss=1.460028 val_acc=0.4906 seconds=251.174
epoch=032 train_loss=1.446917 train_acc=0.4972 val_loss=1.600911 val_acc=0.4574 seconds=251.932
epoch=033 train_loss=1.300733 train_acc=0.5392 val_loss=1.459638 val_acc=0.4936 seconds=249.661
epoch=034 train_loss=1.276601 train_acc=0.5487 val_loss=1.451653 val_acc=0.4980 seconds=250.718
epoch=035 train_loss=1.294827 train_acc=0.5386 val_loss=1.471533 val_acc=0.4844 seconds=250.271
epoch=036 train_loss=1.303519 train_acc=0.5400 val_loss=1.482912 val_acc=0.4846 seconds=248.625
epoch=037 train_loss=1.281749 train_acc=0.5466 val_loss=1.461744 val_acc=0.4884 seconds=270.990
epoch=038 train_loss=1.255647 train_acc=0.5548 val_loss=1.443333 val_acc=0.4952 seconds=272.666
epoch=039 train_loss=1.263813 train_acc=0.5524 val_loss=1.451519 val_acc=0.4904 seconds=260.657
epoch=040 train_loss=1.303365 train_acc=0.5350 val_loss=1.476689 val_acc=0.4834 seconds=243.396
