epoch,optimization_loss,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_seconds
1,1.9662343636706472,1.7906878014670478,0.36435555555555554,1.790923140335083,0.3682,26.62580199999502
2,1.8063363416045903,1.7643849638409084,0.35635555555555554,1.7649120941162109,0.3634,37.07893820000754
3,1.7676390788399512,1.7245372620476618,0.3788666666666667,1.7325622329711914,0.378,126.7378633999906
4,1.7473405265912414,1.7420464368184407,0.37095555555555554,1.7547040573120116,0.3672,167.2073694999999
5,1.7387069787038698,1.787365365600586,0.3468888888888889,1.7994690448760986,0.3468,151.7004151000001
6,1.730936973815163,1.730182543712192,0.37833333333333335,1.7485540197372436,0.3734,135.68110650000744
7,1.7258314374797874,1.6905573155932956,0.3910222222222222,1.7114672225952148,0.3856,149.27346399999806
8,1.719226406249735,1.7857138642205133,0.36106666666666665,1.8039496801376342,0.3564,158.78493289998733
9,1.7119524320589172,1.6894000497817994,0.3871777777777778,1.7137083648681641,0.3718,167.86666090000654
10,1.7085182718942562,1.7073184693230523,0.38584444444444443,1.733535341835022,0.369,171.01238489999378
11,1.6988625900129477,1.6984801536983913,0.3856888888888889,1.7337880224227906,0.3708,177.27986419999797
12,1.6978145596534013,1.6729331893920898,0.39886666666666665,1.7120683959960938,0.394,182.50893830000132
13,1.7004188743429052,1.6853999906539916,0.38753333333333334,1.7268843364715576,0.374,189.17094749999524
14,1.7005563918487894,1.6572196800231933,0.40626666666666666,1.6871340324401856,0.395,190.6584176000033
15,1.6945186087101698,1.7147380873786078,0.39286666666666664,1.7545821657180787,0.3756,191.93569119999302
16,1.6868398069378403,1.6834349760479397,0.3875777777777778,1.727231667327881,0.3768,196.50747030001367
17,1.6809769718458256,1.6581495560540094,0.4066,1.7069071672439575,0.396,194.77287260000594
18,1.6771950593474838,1.7766781823264228,0.3670888888888889,1.817101411819458,0.3562,195.30926429999818
19,1.681162216165993,1.6207161074108547,0.41071111111111114,1.6668685060501098,0.3924,195.46691350000037
20,1.675408659587966,1.6937026511722142,0.39253333333333335,1.7476391819000243,0.372,196.5498310999974
21,1.685492301582959,1.6298806928634644,0.4090888888888889,1.6827417360305785,0.392,196.6933158000029
22,1.6743930150601598,1.679956315167745,0.3924666666666667,1.7334350345611573,0.3738,198.47847689999617
23,1.6772544333934785,1.6199276449415418,0.4153777777777778,1.6680955078125,0.3976,196.28331820000312
24,1.6758486476918062,1.6031557531568739,0.42484444444444447,1.660618713760376,0.4036,196.2236821999977
25,1.673461471390724,1.697209130329556,0.3988,1.7549905111312867,0.3842,196.3805415000097
26,1.6745148942821555,1.6242644262737698,0.4148,1.6810898557662963,0.3962,197.14918619999662
27,1.6759675185362497,1.6814242135365804,0.3980888888888889,1.7376012214660645,0.3814,195.8885261999967
28,1.673509161927965,1.6132795748180813,0.41915555555555556,1.6743665668487548,0.4016,197.24842479999643
29,1.6745330830759473,1.6687700126436023,0.3990222222222222,1.727308533668518,0.389,196.91279630000645
30,1.6752750137229762,1.716237060991923,0.37548888888888887,1.772184799003601,0.3658,197.27196750001167
31,1.671254185801082,1.6156681826909383,0.4201111111111111,1.6707282684326172,0.401,191.17537669999
32,1.6683411124620173,1.7339122591442533,0.38433333333333336,1.7952677574157714,0.369,193.9833651999943
33,1.6712670967956385,1.683136155488756,0.3986,1.7438634426116943,0.3874,194.9310744999966
34,1.6704660386449761,1.5889023860931397,0.43275555555555556,1.6548935638427735,0.4164,198.39368820001255
35,1.667517624231842,1.6901487591001723,0.39213333333333333,1.764235924911499,0.3778,197.0383690000017
36,1.6786603599078125,1.6138596978293525,0.41546666666666665,1.6698666719436646,0.396,197.30008090000774
37,1.6654631248964205,1.722604075580173,0.381,1.776267480659485,0.36,196.89961579999363
38,1.6732212167925304,1.6039199839909872,0.42862222222222224,1.667098215866089,0.4126,196.37214680000034
39,1.6755214962846703,1.6100071402867635,0.4212222222222222,1.6702971420288086,0.4014,197.81113840000762
40,1.6681225546664662,1.6661676259570652,0.39435555555555557,1.7263383632659912,0.3746,197.48929149999458
