epoch=001 train_loss=1.457011 train_acc=0.4818 val_loss=1.471149 val_acc=0.4720 seconds=92.773
epoch=002 train_loss=1.355925 train_acc=0.5121 val_loss=1.397205 val_acc=0.4916 seconds=98.314
epoch=003 train_loss=1.223380 train_acc=0.5737 val_loss=1.281860 val_acc=0.5592 seconds=108.383
epoch=004 train_loss=1.166075 train_acc=0.5921 val_loss=1.244461 val_acc=0.5712 seconds=110.713
epoch=005 train_loss=1.113743 train_acc=0.6109 val_loss=1.210196 val_acc=0.5786 seconds=117.026
epoch=006 train_loss=1.089039 train_acc=0.6231 val_loss=1.201905 val_acc=0.5868 seconds=121.976
epoch=007 train_loss=1.122881 train_acc=0.6094 val_loss=1.264167 val_acc=0.5654 seconds=126.608
epoch=008 train_loss=1.027186 train_acc=0.6457 val_loss=1.180791 val_acc=0.5948 seconds=133.078
epoch=009 train_loss=1.003959 train_acc=0.6492 val_loss=1.180834 val_acc=0.5926 seconds=136.510
epoch=010 train_loss=0.966081 train_acc=0.6655 val_loss=1.150274 val_acc=0.6014 seconds=141.979
epoch=011 train_loss=0.913717 train_acc=0.6825 val_loss=1.127384 val_acc=0.6072 seconds=146.795
epoch=012 train_loss=0.941965 train_acc=0.6669 val_loss=1.155227 val_acc=0.5952 seconds=151.782
epoch=013 train_loss=0.895130 train_acc=0.6856 val_loss=1.134119 val_acc=0.6032 seconds=166.658
epoch=014 train_loss=0.866576 train_acc=0.6952 val_loss=1.121466 val_acc=0.6076 seconds=160.604
epoch=015 train_loss=0.859996 train_acc=0.6988 val_loss=1.130427 val_acc=0.6192 seconds=162.111
epoch=016 train_loss=0.860488 train_acc=0.6953 val_loss=1.146654 val_acc=0.6102 seconds=165.928
epoch=017 train_loss=0.814162 train_acc=0.7146 val_loss=1.121153 val_acc=0.6124 seconds=165.967
epoch=018 train_loss=0.791731 train_acc=0.7227 val_loss=1.126996 val_acc=0.6166 seconds=165.456
epoch=019 train_loss=0.770196 train_acc=0.7330 val_loss=1.121151 val_acc=0.6178 seconds=165.123
epoch=020 train_loss=0.784035 train_acc=0.7226 val_loss=1.151207 val_acc=0.6074 seconds=155.985
epoch=021 train_loss=0.738446 train_acc=0.7431 val_loss=1.131462 val_acc=0.6116 seconds=115.050
epoch=022 train_loss=0.742420 train_acc=0.7403 val_loss=1.130621 val_acc=0.6250 seconds=116.042
epoch=023 train_loss=0.729438 train_acc=0.7458 val_loss=1.150055 val_acc=0.6164 seconds=152.262
epoch=024 train_loss=0.693421 train_acc=0.7593 val_loss=1.141082 val_acc=0.6182 seconds=162.625
epoch=025 train_loss=0.722076 train_acc=0.7461 val_loss=1.180883 val_acc=0.6112 seconds=162.717
epoch=026 train_loss=0.686668 train_acc=0.7572 val_loss=1.159698 val_acc=0.6176 seconds=162.061
epoch=027 train_loss=0.689468 train_acc=0.7593 val_loss=1.178875 val_acc=0.6128 seconds=162.913
epoch=028 train_loss=0.673418 train_acc=0.7632 val_loss=1.208375 val_acc=0.6078 seconds=163.356
epoch=029 train_loss=0.669943 train_acc=0.7667 val_loss=1.210432 val_acc=0.6106 seconds=161.708
epoch=030 train_loss=0.721115 train_acc=0.7457 val_loss=1.261538 val_acc=0.5992 seconds=158.796
epoch=031 train_loss=0.674345 train_acc=0.7625 val_loss=1.231945 val_acc=0.5994 seconds=128.624
epoch=032 train_loss=0.678707 train_acc=0.7562 val_loss=1.259758 val_acc=0.6008 seconds=117.132
epoch=033 train_loss=0.607546 train_acc=0.7878 val_loss=1.210862 val_acc=0.6136 seconds=154.861
epoch=034 train_loss=0.606912 train_acc=0.7885 val_loss=1.228227 val_acc=0.6098 seconds=177.546
epoch=035 train_loss=0.627599 train_acc=0.7790 val_loss=1.250859 val_acc=0.6054 seconds=174.824
epoch=036 train_loss=0.657899 train_acc=0.7667 val_loss=1.311439 val_acc=0.5956 seconds=176.544
epoch=037 train_loss=0.587121 train_acc=0.7967 val_loss=1.250748 val_acc=0.6060 seconds=174.559
epoch=038 train_loss=0.571898 train_acc=0.7995 val_loss=1.268991 val_acc=0.6042 seconds=174.172
epoch=039 train_loss=0.604819 train_acc=0.7853 val_loss=1.321148 val_acc=0.5966 seconds=175.035
epoch=040 train_loss=0.553527 train_acc=0.8063 val_loss=1.292412 val_acc=0.6076 seconds=175.030
