epoch=001 train_loss=1.777843 train_acc=0.3650 val_loss=1.783926 val_acc=0.3582 seconds=7.617
epoch=002 train_loss=1.717121 train_acc=0.3906 val_loss=1.735526 val_acc=0.3882 seconds=7.304
epoch=003 train_loss=1.644362 train_acc=0.4167 val_loss=1.669101 val_acc=0.4052 seconds=18.475
epoch=004 train_loss=1.637769 train_acc=0.4164 val_loss=1.663561 val_acc=0.4084 seconds=27.951
epoch=005 train_loss=1.662109 train_acc=0.4089 val_loss=1.694185 val_acc=0.3926 seconds=35.717
epoch=006 train_loss=1.581613 train_acc=0.4374 val_loss=1.614734 val_acc=0.4272 seconds=43.238
epoch=007 train_loss=1.569207 train_acc=0.4450 val_loss=1.605025 val_acc=0.4404 seconds=50.856
epoch=008 train_loss=1.556030 train_acc=0.4433 val_loss=1.599241 val_acc=0.4248 seconds=57.949
epoch=009 train_loss=1.556435 train_acc=0.4431 val_loss=1.611155 val_acc=0.4284 seconds=64.690
epoch=010 train_loss=1.548003 train_acc=0.4513 val_loss=1.604258 val_acc=0.4340 seconds=70.624
epoch=011 train_loss=1.548802 train_acc=0.4460 val_loss=1.615441 val_acc=0.4230 seconds=76.941
epoch=012 train_loss=1.552451 train_acc=0.4405 val_loss=1.611849 val_acc=0.4164 seconds=82.580
epoch=013 train_loss=1.532478 train_acc=0.4512 val_loss=1.598223 val_acc=0.4344 seconds=87.272
epoch=014 train_loss=1.490474 train_acc=0.4690 val_loss=1.556125 val_acc=0.4518 seconds=92.885
epoch=015 train_loss=1.528789 train_acc=0.4517 val_loss=1.600613 val_acc=0.4274 seconds=96.074
epoch=016 train_loss=1.522688 train_acc=0.4531 val_loss=1.604602 val_acc=0.4224 seconds=99.665
epoch=017 train_loss=1.454160 train_acc=0.4839 val_loss=1.537001 val_acc=0.4544 seconds=101.273
epoch=018 train_loss=1.464384 train_acc=0.4788 val_loss=1.548222 val_acc=0.4562 seconds=103.890
epoch=019 train_loss=1.502977 train_acc=0.4607 val_loss=1.594946 val_acc=0.4282 seconds=102.978
epoch=020 train_loss=1.459190 train_acc=0.4813 val_loss=1.549067 val_acc=0.4516 seconds=103.906
epoch=021 train_loss=1.464934 train_acc=0.4792 val_loss=1.555386 val_acc=0.4484 seconds=104.300
epoch=022 train_loss=1.451869 train_acc=0.4831 val_loss=1.540935 val_acc=0.4498 seconds=104.000
epoch=023 train_loss=1.465606 train_acc=0.4804 val_loss=1.565921 val_acc=0.4408 seconds=104.040
epoch=024 train_loss=1.442689 train_acc=0.4876 val_loss=1.537445 val_acc=0.4560 seconds=106.060
epoch=025 train_loss=1.462608 train_acc=0.4880 val_loss=1.562767 val_acc=0.4648 seconds=104.872
epoch=026 train_loss=1.446173 train_acc=0.4883 val_loss=1.546472 val_acc=0.4638 seconds=122.332
epoch=027 train_loss=1.465759 train_acc=0.4829 val_loss=1.566540 val_acc=0.4570 seconds=203.384
epoch=028 train_loss=1.444748 train_acc=0.4822 val_loss=1.553584 val_acc=0.4518 seconds=229.558
epoch=029 train_loss=1.425093 train_acc=0.4883 val_loss=1.534240 val_acc=0.4572 seconds=203.794
epoch=030 train_loss=1.446241 train_acc=0.4808 val_loss=1.560764 val_acc=0.4470 seconds=184.657
epoch=031 train_loss=1.438749 train_acc=0.4857 val_loss=1.554379 val_acc=0.4474 seconds=183.785
epoch=032 train_loss=1.543305 train_acc=0.4576 val_loss=1.666345 val_acc=0.4288 seconds=184.728
epoch=033 train_loss=1.456527 train_acc=0.4780 val_loss=1.558349 val_acc=0.4570 seconds=186.250
epoch=034 train_loss=1.412289 train_acc=0.4956 val_loss=1.529167 val_acc=0.4518 seconds=183.008
epoch=035 train_loss=1.460098 train_acc=0.4769 val_loss=1.577882 val_acc=0.4386 seconds=181.858
epoch=036 train_loss=1.432490 train_acc=0.4889 val_loss=1.559652 val_acc=0.4546 seconds=182.146
epoch=037 train_loss=1.444164 train_acc=0.4835 val_loss=1.567120 val_acc=0.4468 seconds=209.129
epoch=038 train_loss=1.406531 train_acc=0.5010 val_loss=1.532284 val_acc=0.4584 seconds=185.848
epoch=039 train_loss=1.418438 train_acc=0.4928 val_loss=1.539795 val_acc=0.4556 seconds=185.363
epoch=040 train_loss=1.477703 train_acc=0.4722 val_loss=1.596655 val_acc=0.4298 seconds=182.540
