epoch=001 train_loss=1.633155 train_acc=0.4287 val_loss=1.679940 val_acc=0.4124 seconds=13.097
epoch=002 train_loss=1.455666 train_acc=0.4880 val_loss=1.534795 val_acc=0.4572 seconds=15.496
epoch=003 train_loss=1.489720 train_acc=0.4728 val_loss=1.594307 val_acc=0.4352 seconds=14.879
epoch=004 train_loss=1.342432 train_acc=0.5286 val_loss=1.476833 val_acc=0.4742 seconds=15.068
epoch=005 train_loss=1.390520 train_acc=0.5124 val_loss=1.539124 val_acc=0.4690 seconds=15.148
epoch=006 train_loss=1.502197 train_acc=0.4864 val_loss=1.669408 val_acc=0.4386 seconds=15.457
epoch=007 train_loss=1.369258 train_acc=0.5185 val_loss=1.583215 val_acc=0.4574 seconds=15.193
epoch=008 train_loss=1.229482 train_acc=0.5745 val_loss=1.467836 val_acc=0.4962 seconds=15.728
epoch=009 train_loss=1.242651 train_acc=0.5529 val_loss=1.476401 val_acc=0.4794 seconds=15.201
epoch=010 train_loss=1.301918 train_acc=0.5453 val_loss=1.585813 val_acc=0.4680 seconds=15.264
epoch=011 train_loss=1.280563 train_acc=0.5590 val_loss=1.572381 val_acc=0.4766 seconds=15.327
epoch=012 train_loss=1.242148 train_acc=0.5649 val_loss=1.527145 val_acc=0.4926 seconds=15.534
epoch=013 train_loss=1.616645 train_acc=0.4508 val_loss=1.968253 val_acc=0.3896 seconds=15.450
epoch=014 train_loss=1.074426 train_acc=0.6278 val_loss=1.430084 val_acc=0.5060 seconds=15.239
epoch=015 train_loss=1.159233 train_acc=0.6008 val_loss=1.519506 val_acc=0.4912 seconds=15.701
epoch=016 train_loss=1.101012 train_acc=0.6125 val_loss=1.476005 val_acc=0.5014 seconds=16.295
epoch=017 train_loss=1.629908 train_acc=0.4874 val_loss=2.034206 val_acc=0.4086 seconds=16.116
epoch=018 train_loss=1.103169 train_acc=0.6143 val_loss=1.548947 val_acc=0.4836 seconds=16.115
epoch=019 train_loss=1.342220 train_acc=0.5320 val_loss=1.809033 val_acc=0.4354 seconds=15.346
epoch=020 train_loss=1.564936 train_acc=0.5041 val_loss=2.024835 val_acc=0.4134 seconds=15.728
epoch=021 train_loss=1.137847 train_acc=0.6038 val_loss=1.661037 val_acc=0.4808 seconds=15.291
epoch=022 train_loss=1.461607 train_acc=0.5271 val_loss=1.961625 val_acc=0.4264 seconds=15.538
epoch=023 train_loss=1.136242 train_acc=0.6068 val_loss=1.627967 val_acc=0.4864 seconds=15.647
epoch=024 train_loss=1.126759 train_acc=0.6063 val_loss=1.657980 val_acc=0.4800 seconds=15.166
epoch=025 train_loss=1.190335 train_acc=0.5802 val_loss=1.734897 val_acc=0.4582 seconds=15.343
epoch=026 train_loss=1.175891 train_acc=0.5939 val_loss=1.771035 val_acc=0.4474 seconds=15.549
epoch=027 train_loss=1.211246 train_acc=0.5926 val_loss=1.816573 val_acc=0.4586 seconds=15.571
epoch=028 train_loss=1.313895 train_acc=0.5567 val_loss=1.882077 val_acc=0.4388 seconds=15.714
epoch=029 train_loss=1.258146 train_acc=0.5760 val_loss=1.864761 val_acc=0.4484 seconds=15.550
epoch=030 train_loss=1.242149 train_acc=0.5795 val_loss=1.900864 val_acc=0.4496 seconds=15.741
epoch=031 train_loss=1.139106 train_acc=0.6110 val_loss=1.804364 val_acc=0.4748 seconds=15.481
epoch=032 train_loss=1.815931 train_acc=0.4745 val_loss=2.458572 val_acc=0.3810 seconds=15.718
epoch=033 train_loss=0.996784 train_acc=0.6488 val_loss=1.674350 val_acc=0.4822 seconds=15.625
epoch=034 train_loss=1.024500 train_acc=0.6284 val_loss=1.714387 val_acc=0.4740 seconds=15.756
epoch=035 train_loss=1.000715 train_acc=0.6522 val_loss=1.662978 val_acc=0.4930 seconds=15.422
epoch=036 train_loss=0.938297 train_acc=0.6654 val_loss=1.609699 val_acc=0.4902 seconds=15.419
epoch=037 train_loss=1.147942 train_acc=0.6031 val_loss=1.885279 val_acc=0.4528 seconds=15.495
epoch=038 train_loss=1.458348 train_acc=0.5471 val_loss=2.174350 val_acc=0.4238 seconds=15.790
epoch=039 train_loss=1.192715 train_acc=0.6082 val_loss=1.979894 val_acc=0.4516 seconds=15.790
epoch=040 train_loss=1.023853 train_acc=0.6390 val_loss=1.773607 val_acc=0.4724 seconds=15.366
