epoch=001 train_loss=1.239735 train_acc=0.8385 val_loss=1.260667 val_acc=0.8178 seconds=0.012
epoch=002 train_loss=0.568854 train_acc=0.9101 val_loss=0.617784 val_acc=0.8587 seconds=0.012
epoch=003 train_loss=0.336921 train_acc=0.9268 val_loss=0.390196 val_acc=0.8959 seconds=0.014
epoch=004 train_loss=0.239409 train_acc=0.9451 val_loss=0.297438 val_acc=0.9257 seconds=0.012
epoch=005 train_loss=0.191073 train_acc=0.9547 val_loss=0.247445 val_acc=0.9294 seconds=0.012
epoch=006 train_loss=0.161847 train_acc=0.9682 val_loss=0.205765 val_acc=0.9591 seconds=0.012
epoch=007 train_loss=0.129208 train_acc=0.9785 val_loss=0.189741 val_acc=0.9517 seconds=0.012
epoch=008 train_loss=0.116263 train_acc=0.9809 val_loss=0.182587 val_acc=0.9554 seconds=0.013
epoch=009 train_loss=0.096504 train_acc=0.9833 val_loss=0.160253 val_acc=0.9665 seconds=0.013
epoch=010 train_loss=0.087292 train_acc=0.9841 val_loss=0.145685 val_acc=0.9665 seconds=0.012
epoch=011 train_loss=0.076677 train_acc=0.9889 val_loss=0.139920 val_acc=0.9703 seconds=0.013
epoch=012 train_loss=0.070265 train_acc=0.9897 val_loss=0.136259 val_acc=0.9740 seconds=0.013
epoch=013 train_loss=0.067152 train_acc=0.9897 val_loss=0.139097 val_acc=0.9703 seconds=0.014
epoch=014 train_loss=0.056025 train_acc=0.9936 val_loss=0.126459 val_acc=0.9665 seconds=0.013
epoch=015 train_loss=0.050777 train_acc=0.9936 val_loss=0.123013 val_acc=0.9665 seconds=0.012
epoch=016 train_loss=0.043953 train_acc=0.9944 val_loss=0.115666 val_acc=0.9665 seconds=0.013
epoch=017 train_loss=0.039028 train_acc=0.9968 val_loss=0.109715 val_acc=0.9777 seconds=0.012
epoch=018 train_loss=0.037752 train_acc=0.9968 val_loss=0.110934 val_acc=0.9740 seconds=0.013
epoch=019 train_loss=0.036242 train_acc=0.9984 val_loss=0.114005 val_acc=0.9703 seconds=0.012
epoch=020 train_loss=0.030972 train_acc=0.9984 val_loss=0.100964 val_acc=0.9814 seconds=0.013
epoch=021 train_loss=0.028831 train_acc=0.9992 val_loss=0.097133 val_acc=0.9777 seconds=0.014
epoch=022 train_loss=0.025828 train_acc=0.9992 val_loss=0.098083 val_acc=0.9777 seconds=0.013
epoch=023 train_loss=0.023530 train_acc=0.9992 val_loss=0.094428 val_acc=0.9814 seconds=0.013
epoch=024 train_loss=0.022705 train_acc=0.9992 val_loss=0.095321 val_acc=0.9814 seconds=0.013
epoch=025 train_loss=0.022629 train_acc=0.9992 val_loss=0.097155 val_acc=0.9777 seconds=0.012
epoch=026 train_loss=0.020063 train_acc=0.9992 val_loss=0.093597 val_acc=0.9851 seconds=0.013
epoch=027 train_loss=0.023192 train_acc=0.9984 val_loss=0.093038 val_acc=0.9740 seconds=0.014
epoch=028 train_loss=0.016904 train_acc=0.9992 val_loss=0.089923 val_acc=0.9851 seconds=0.013
epoch=029 train_loss=0.015968 train_acc=1.0000 val_loss=0.091651 val_acc=0.9814 seconds=0.014
epoch=030 train_loss=0.015116 train_acc=0.9992 val_loss=0.087922 val_acc=0.9814 seconds=0.015
epoch=031 train_loss=0.014403 train_acc=0.9992 val_loss=0.088254 val_acc=0.9814 seconds=0.014
epoch=032 train_loss=0.014255 train_acc=1.0000 val_loss=0.091923 val_acc=0.9814 seconds=0.015
epoch=033 train_loss=0.012991 train_acc=1.0000 val_loss=0.091002 val_acc=0.9814 seconds=0.014
epoch=034 train_loss=0.012179 train_acc=1.0000 val_loss=0.085934 val_acc=0.9814 seconds=0.016
epoch=035 train_loss=0.012266 train_acc=1.0000 val_loss=0.090128 val_acc=0.9814 seconds=0.015
epoch=036 train_loss=0.011746 train_acc=1.0000 val_loss=0.086936 val_acc=0.9814 seconds=0.014
epoch=037 train_loss=0.010857 train_acc=1.0000 val_loss=0.084861 val_acc=0.9814 seconds=0.014
epoch=038 train_loss=0.010376 train_acc=1.0000 val_loss=0.086984 val_acc=0.9851 seconds=0.014
epoch=039 train_loss=0.009982 train_acc=1.0000 val_loss=0.084287 val_acc=0.9814 seconds=0.014
epoch=040 train_loss=0.009410 train_acc=1.0000 val_loss=0.084205 val_acc=0.9814 seconds=0.014
